会場,LIVE,住所
 国立代々木競技場第一体育館,"
2023/01/14 ROAD GAME『テクノプア』~叢雲のつるぎ~
2023/01/15 ROAD GAME『テクノプア』~叢雲のつるぎ~
2025/05/17 YAKI YAKI YANKEE TOUR 続 「名巧は愚なるが如し」
2025/05/18 YAKI YAKI YANKEE TOUR 続 「名巧は愚なるが如し」
",東京都渋谷区神南2-1-1
 福岡国際センター,"
2025/05/10 YAKI YAKI YANKEE TOUR 続 「名巧は愚なるが如し」
2025/05/11 YAKI YAKI YANKEE TOUR 続 「名巧は愚なるが如し」
",福岡県福岡市博多区築港本町2-2
 大阪城ホール,"
2025/04/28 YAKI YAKI YANKEE TOUR 続 「名巧は愚なるが如し」
2025/04/29 YAKI YAKI YANKEE TOUR 続 「名巧は愚なるが如し」
",大阪府大阪市中央区大阪城3-1
 Aichi Sky Expo ホールA,"
2025/04/19 YAKI YAKI YANKEE TOUR 続 「名巧は愚なるが如し」
2025/04/20 YAKI YAKI YANKEE TOUR 続 「名巧は愚なるが如し」
",愛知県常滑市セントレア5-10-1
 LaLa arena TOKYO-BAY,"
2025/04/05 YAKI YAKI YANKEE TOUR 続 「名巧は愚なるが如し」
2025/04/06 YAKI YAKI YANKEE TOUR 続 「名巧は愚なるが如し」
",千葉県船橋市浜町2-5-15
 ぴあアリーナMM,"
2025/03/29 YAKI YAKI YANKEE TOUR 続 「名巧は愚なるが如し」
2025/03/30 YAKI YAKI YANKEE TOUR 続 「名巧は愚なるが如し」
",神奈川県横浜市西区みなとみらい3-2-2
 ロームシアター京都,"
2024/01/29 原始五年巡回公演「喫茶・愛のペガサス」
2024/01/30 原始五年巡回公演「喫茶・愛のペガサス」
2025/01/22 やきやきヤンキーツアー2 ～スナネコ建設の磨き仕上げ～
2025/01/23 やきやきヤンキーツアー2 ～スナネコ建設の磨き仕上げ～
",京都府京都市左京区岡崎最勝寺町13
 広島文化学園HBGホール,"
2023/12/09 原始五年巡回公演「喫茶・愛のペガサス」
2025/01/17 やきやきヤンキーツアー2 ～スナネコ建設の磨き仕上げ～
2025/01/18 やきやきヤンキーツアー2 ～スナネコ建設の磨き仕上げ～
",広島県広島市中区加古町3-3
 宮崎市⺠文化ホール,"
2025/01/11 やきやきヤンキーツアー2 ～スナネコ建設の磨き仕上げ～
",宮崎県宮崎市花山手東3-25-3
 iichiko グランシアタ,"
2025/01/09 やきやきヤンキーツアー2 ～スナネコ建設の磨き仕上げ～
",大分県大分市高砂町2-33
