開催日,LIVE,会場,住所
2018/8/29,真夜中じゃないけど夜にするライブ, 代官山LOOP（現在は閉館）,東京都渋谷区鉢山町13-12
2019/1/11,1st LIVE 〜まだ偽りでありんす。〜, 渋谷 CLUB QUATTRO,東京都渋谷区宇田川町32-134
2019/4/4,1st LIVE 〜まだまだ偽りでありんす。〜, DIAMOND HALL,愛知県名古屋市中区新栄2-1-9
2019/4/5,1st LIVE 〜まだまだ偽りでありんす。〜, BIGCAT,大阪府大阪市中央区西心斎橋1-6-14
2019/4/12,1st LIVE 〜まだまだ偽りでありんす。〜, TSUTAYA O-EAST（現在はSpotify O-EAST）,東京都渋谷区道玄坂2-14-8
2019/8/5,夏休みLIVE 〜水飲み場にて笑みの契約〜, Zepp DiverCity TOKYO,東京都江東区青海1-1-10
2019/8/6,夏休みLIVE 〜水飲み場にて笑みの契約〜, Zepp DiverCity TOKYO,東京都江東区青海1-1-10
2019/10/2,「潜潜ツアー」, ペニーレーン24,北海道札幌市西区二十四軒4条5-5-21
2019/10/3,「潜潜ツアー」, ペニーレーン24,北海道札幌市西区二十四軒4条5-5-21
2019/10/7,「潜潜ツアー」, Zepp Nagoya,愛知県名古屋市中村区平池町4-60-7
2019/10/14,「潜潜ツアー」, チームスマイル・仙台PIT,宮城県仙台市太白区あすと長町2-2-50
2019/10/23,「潜潜ツアー」, Zepp Tokyo（現在は閉館）,東京都江東区青海1-3-11
2019/10/24,「潜潜ツアー」, Zepp Tokyo（現在は閉館）,東京都江東区青海1-3-11
2019/10/30,「潜潜ツアー」, Zepp Namba,大阪府大阪市浪速区敷津東2-1-39
2019/11/13,「潜潜ツアー」, Zepp Fukuoka,福岡県福岡市中央区地行浜2-2-1
2019/11/27,「潜潜ツアー」, Zepp Tokyo（現在は閉館）,東京都江東区青海1-3-11
2020/11/28,「やきやきヤンキーツアー(炙りと燻製編)」, 東京ガーデンシアター,東京都江東区有明2-1-6
2020/11/29,「やきやきヤンキーツアー(炙りと燻製編)」, 東京ガーデンシアター,東京都江東区有明2-1-6
2021/5/15,CLEANING LABO「温れ落ち度」, 幕張メッセ幕張イベントホール,千葉県千葉市美浜区中瀬2-1
2021/5/16,CLEANING LABO「温れ落ち度」, 幕張メッセ幕張イベントホール,千葉県千葉市美浜区中瀬2-1
2021/11/3,果羅火羅武〜TOUR (カラカラブ〜ツアー), 和光市民文化センター サンアゼリア 大ホール,埼玉県和光市広沢1-5
2021/11/5,果羅火羅武〜TOUR (カラカラブ〜ツアー), 長野県ホクト文化ホール・大ホール,長野県長野市若里1-1-3
2021/11/13,果羅火羅武〜TOUR (カラカラブ〜ツアー), 本多の森ホール（現在は本多の森 北電ホール）,石川県金沢市石引4-17-1
2021/11/21,果羅火羅武〜TOUR (カラカラブ〜ツアー), 川商ホール第一ホール,鹿児島県鹿児島市与次郎2-3-1
2021/11/24,果羅火羅武〜TOUR (カラカラブ〜ツアー), 福岡市民会館（現在は閉館）,福岡県福岡市中央区天神5-2-2
2021/11/25,果羅火羅武〜TOUR (カラカラブ〜ツアー), 福岡市民会館（現在は閉館）,福岡県福岡市中央区天神5-2-2
